State,MSE,RMSE,Time_s
BNN_training_50%,0.0060830658378293575,0.07799401155107588,144.11575508117676
BNN_full_training_50%,0.006149651562515044,0.07841971411905965,0.0
BNN_testing_50%,0.05828481828496912,0.24142248918642423,0.0
FNN_training_50%,0.006445881752969745,0.08028624884106708,31.357691049575806
FNN_full_training_50%,0.006379745701110149,0.07987331031771595,0.0
FNN_testing_50%,0.11441801516486962,0.3382573209331464,0.0
LC_full_training,0.0028791353787659905,0.05365757522257217,0.0
LC_testing,0.03148954305964819,0.17745293195562645,0.0
