State,MSE,RMSE,Time_s
BNN_training_1%,0.0010585395811171015,0.03253520525703044,127.68068814277649
BNN_full_training_1%,0.15119991344111564,0.38884433060174045,0.0
BNN_testing_1%,0.3864069012088686,0.6216163617609085,0.0
FNN_training_1%,0.007772385294054515,0.08816113255882388,0.30719590187072754
FNN_full_training_1%,0.25798080713345306,0.5079181106570754,0.0
FNN_testing_1%,0.3565077722123226,0.5970827180653637,0.0
LC_full_training,0.0028791353787659905,0.05365757522257217,0.0
LC_testing,0.031341897877007585,0.17703643093162374,0.0
