State,MSE,RMSE,Time_s
BNN_training_50%,0.007957185119161459,0.08920305554834689,223.3520839214325
BNN_full_training_50%,0.007736952463585144,0.08795994806492978,0.0
BNN_testing_50%,0.13895788181470883,0.3727705484808434,0.0
FNN_training_50%,0.008381648380121686,0.0915513428635631,92.83701205253601
FNN_full_training_50%,0.008068084043976355,0.08982251412633892,0.0
FNN_testing_50%,0.13433252458383635,0.36651401689954005,0.0
LC_full_training,0.0028791353787659905,0.05365757522257217,0.0
LC_testing,0.03145253863671662,0.177348635846788,0.0
