Year,Age,Gender,log_Mu
1950.0,0.0,0.0,-3.5681496533266226
1950.0,10.0,0.0,-7.763421389039857
1950.0,12.0,0.0,-7.780029125439517
1950.0,15.0,0.0,-7.395515629817131
1950.0,21.0,0.0,-6.943382456625288
1950.0,23.0,0.0,-6.86469578952169
1950.0,30.0,0.0,-6.564875046065594
1950.0,35.0,0.0,-6.210616077152654
1950.0,37.0,0.0,-6.065326395706437
1950.0,38.0,0.0,-5.986278020420682
1950.0,42.0,0.0,-5.653564758495584
1950.0,43.0,0.0,-5.574070868134544
1950.0,45.0,0.0,-5.426605386849568
1950.0,46.0,0.0,-5.3401815706467355
1950.0,48.0,0.0,-5.1862394631426865
1950.0,53.0,0.0,-4.787411745981875
1950.0,64.0,0.0,-3.889576816598316
1950.0,65.0,0.0,-3.816303818369602
1950.0,66.0,0.0,-3.7470595661803987
1950.0,68.0,0.0,-3.571096418457553
1950.0,76.0,0.0,-2.7465000114774094
1950.0,82.0,0.0,-2.222342405317843
1950.0,91.0,0.0,-1.4542863051304926
1950.0,92.0,0.0,-1.346339302279801
1950.0,97.0,0.0,-1.144142223166556
1950.0,98.0,0.0,-1.2129092826346617
1951.0,6.0,0.0,-7.415253112655453
1951.0,7.0,0.0,-7.612975040776352
1951.0,11.0,0.0,-7.893932138320459
1951.0,12.0,0.0,-7.851931214345828
1951.0,14.0,0.0,-7.600902459542082
1951.0,19.0,0.0,-7.063240181822532
1951.0,32.0,0.0,-6.444650391427558
1951.0,33.0,0.0,-6.39433302936888
1951.0,37.0,0.0,-6.106202224578405
1951.0,40.0,0.0,-5.823580038111797
1951.0,44.0,0.0,-5.534546157410902
1951.0,47.0,0.0,-5.310592397423649
1951.0,50.0,0.0,-5.009386074695824
1951.0,51.0,0.0,-4.9378496243706085
1951.0,53.0,0.0,-4.761707043808319
1951.0,55.0,0.0,-4.637176982123178
1951.0,60.0,0.0,-4.251349311032265
1951.0,74.0,0.0,-2.950778028552949
1951.0,84.0,0.0,-2.0248397264882523
1952.0,3.0,0.0,-6.976034119735432
1952.0,12.0,0.0,-7.737868314615239
1952.0,14.0,0.0,-7.52951246345541
1952.0,17.0,0.0,-7.1927742340144345
1952.0,21.0,0.0,-7.050471581183732
1952.0,22.0,0.0,-7.006471251921295
1952.0,29.0,0.0,-6.6750575148631155
1952.0,35.0,0.0,-6.272237211258828
1952.0,36.0,0.0,-6.198734749265902
1952.0,37.0,0.0,-6.12705520141433
1952.0,40.0,0.0,-5.865008123155422
1952.0,46.0,0.0,-5.412158182971797
1952.0,50.0,0.0,-5.033341131631894
1952.0,53.0,0.0,-4.800090778358562
1952.0,55.0,0.0,-4.658570962715206
1952.0,56.0,0.0,-4.589296836831801
1952.0,65.0,0.0,-3.8377043411858467
1952.0,81.0,0.0,-2.3735763885723307
1952.0,82.0,0.0,-2.2859049827428475
1952.0,84.0,0.0,-2.0461460402821965
1952.0,85.0,0.0,-1.9476626838476891
1952.0,91.0,0.0,-1.487946206848025
1953.0,2.0,0.0,-6.792642471881632
1953.0,10.0,0.0,-8.034767042171945
1953.0,11.0,0.0,-7.946213644830499
1953.0,12.0,0.0,-7.851931214345828
1953.0,17.0,0.0,-7.26872514720375
1953.0,19.0,0.0,-7.143477612503207
1953.0,20.0,0.0,-7.146012468106395
1953.0,25.0,0.0,-6.984636323318095
1953.0,26.0,0.0,-6.943382456625288
1953.0,27.0,0.0,-6.902767737471098
1953.0,28.0,0.0,-6.815176097689044
1953.0,32.0,0.0,-6.575577966643805
1953.0,33.0,0.0,-6.503624393887109
1953.0,42.0,0.0,-5.7340355178272215
1953.0,47.0,0.0,-5.364670867098058
1953.0,56.0,0.0,-4.60637090656461
1953.0,61.0,0.0,-4.230370492190812
1953.0,63.0,0.0,-4.043841580048994
1953.0,76.0,0.0,-2.7995899977427245
1953.0,77.0,0.0,-2.7110647402630814
1953.0,78.0,0.0,-2.620245388965513
1953.0,82.0,0.0,-2.2610593461655473
1953.0,86.0,0.0,-1.871738178949504
1953.0,93.0,0.0,-1.304047315554525
1953.0,98.0,0.0,-0.9970182573151943
1953.0,99.0,0.0,-1.203569552309627
1954.0,3.0,0.0,-7.1447442371184
1954.0,10.0,0.0,-7.9748689005908755
1954.0,11.0,0.0,-8.078938260485081
1954.0,14.0,0.0,-7.7728777242818925
1954.0,16.0,0.0,-7.525794987055277
1954.0,18.0,0.0,-7.355606103586739
1954.0,20.0,0.0,-7.222466023821838
1954.0,23.0,0.0,-7.166526007939498
1954.0,27.0,0.0,-7.002065958453378
1954.0,28.0,0.0,-6.905757276319464
1954.0,33.0,0.0,-6.586396680170973
1954.0,35.0,0.0,-6.424095323288916
1954.0,38.0,0.0,-6.175387385268911
1954.0,44.0,0.0,-5.651569603209267
1954.0,46.0,0.0,-5.504112279527633
1954.0,48.0,0.0,-5.336019233732048
1954.0,62.0,0.0,-4.194054406371112
1954.0,64.0,0.0,-3.992474129825773
1954.0,66.0,0.0,-3.824057916699502
1954.0,69.0,0.0,-3.581030038339239
1954.0,72.0,0.0,-3.252587739353737
1954.0,73.0,0.0,-3.152082036259194
1954.0,80.0,0.0,-2.5043096769349553
1954.0,82.0,0.0,-2.3100932084843673
1954.0,85.0,0.0,-2.0372483277108207
1954.0,88.0,0.0,-1.781692313516008
1954.0,89.0,0.0,-1.6935752416404013
1954.0,90.0,0.0,-1.5858239301367734
1954.0,93.0,0.0,-1.3640633122785686
1954.0,100.0,0.0,-0.9923001259700025
1955.0,4.0,0.0,-7.366621163817417
1955.0,7.0,0.0,-7.851931214345828
1955.0,13.0,0.0,-7.954724334498408
1955.0,18.0,0.0,-7.346260241168502
1955.0,19.0,0.0,-7.28172172003093
1955.0,20.0,0.0,-7.2446275956246895
1955.0,26.0,0.0,-7.057416053536543
1955.0,33.0,0.0,-6.618823987129924
1955.0,37.0,0.0,-6.2920292453907765
1955.0,39.0,0.0,-6.092390465697942
1955.0,43.0,0.0,-5.7483615180541685
1955.0,48.0,0.0,-5.372179215146492
1955.0,49.0,0.0,-5.271091380294445
1955.0,50.0,0.0,-5.176453778791196
1955.0,53.0,0.0,-4.913735469356296
1955.0,54.0,0.0,-4.84038631853657
