parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
σ,0.08682813753088077,0.16396907105176212,0.029132290102394747,5.7161578646171405,10.89806574301489,1.1326629598268247,0.061967801316260576
parameters[1],-0.20352066232916013,0.3008748256659937,0.08888186425314541,7.960631068236301,14.488511552964598,1.1368207028003507,0.08629971671042345
parameters[2],-0.11792455397421953,0.1380483199073696,0.04169090768493178,11.066956418830522,12.894673325413834,1.3025954223703637,0.11997481048990202
parameters[3],0.35471210998926594,0.3884563098523437,0.17831298033920262,8.150501823429348,17.185614241184297,1.127543289015701,0.0883580701555586
parameters[4],-0.25625694676009675,0.567614996015471,0.39206341906308806,1.4124021965392168,15.097483907901184,1.924074860970596,0.015311588792108071
parameters[5],0.2659157144521702,0.20246134208686395,0.05461494758173323,15.079268478586354,11.723961336127067,1.2701761087753245,0.16347153721202845
parameters[6],0.10729219667935944,0.24782461148951876,0.058158732068236005,15.837969334251586,16.54505981258398,1.1852963096649225,0.17169647168652255
parameters[7],0.49111699818857224,0.6805892440986663,0.3898934454793836,2.243535849051481,13.672670341704766,1.3627464327438659,0.024321753708116314
parameters[8],-0.02573480958706238,0.1910108793849985,0.03788985414331213,15.5834772419055,15.610315958813421,1.011968295226681,0.16893757037753676
parameters[9],0.2940941886016461,0.658139631004488,0.2283766607009592,8.461972961514203,11.038575111997647,1.2178985282189139,0.09173467067250123
parameters[10],-2.162763249912359,0.8801980578293336,0.5509473614199498,2.2476470929697068,22.938609427226808,1.4216292447516408,0.02436632293666479
parameters[11],-0.9034292719012388,0.8315088808406979,0.32557976084033996,7.250754066339684,47.007012307913655,1.0108505062410893,0.07860407252872473
parameters[12],-1.6235797912421475,0.8166592619903885,0.6039355111034203,2.070661514288857,18.369587965272906,1.4635625587848222,0.022447655286943945
parameters[13],-1.265809438151215,0.4944054813967402,0.2326914624798934,4.923004281209561,17.087882278573183,1.195668613990007,0.053369371245929935
parameters[14],0.19374322753199624,0.48146851002739804,0.13743082514867025,12.689669303592222,35.536347089581994,1.282613395972727,0.1375663382289604
parameters[15],0.42308436557107215,0.44410628962612303,0.09167427106634315,23.81956046162878,26.09815525836454,1.0958158264947844,0.2582234124889291
parameters[16],-1.34005781586476,0.3039971156254872,0.21877691898329393,2.0272132099309,31.6919886929094,1.5367981930418049,0.021976640322740774
parameters[17],-0.6210453142209658,0.3989805761185026,0.058783241785439755,50.35101699687093,36.30844434676641,1.2063165825799667,0.54584598452876
