State,MSE,RMSE,Time_s
BNN_training_1%,0.016619570888164337,0.12891691467051303,5.242112874984741
BNN_full_training_1%,0.19833570516430496,0.4453489700945821,0.0
BNN_testing_1%,0.8440115634615302,0.9187010196258248,0.0
FNN_training_1%,0.016611496595090723,0.12888559498675842,0.3373401165008545
FNN_full_training_1%,0.19877808190690005,0.44584535649359414,0.0
FNN_testing_1%,0.844408680359992,0.918917123771231,0.0
LC_full_training,0.0028791353787659905,0.05365757522257217,0.0
LC_testing,0.031341897877007585,0.17703643093162374,0.0
