State,MSE,RMSE,Time_s
BNN_training_half-%,0.0024472896504387927,0.04947008844179271,421.15555119514465
BNN_full_training_half-%,0.10900805088057815,0.33016367286631965,0.0
BNN_testing_half-%,0.2405088352348584,0.49041700137215716,0.0
FNN_training_half-%,0.00010299247833176452,0.01014852099233009,0.27088403701782227
FNN_full_training_half-%,0.29721472104745955,0.5451740282216859,0.0
FNN_testing_half-%,0.8180115755862676,0.9044399237021039,0.0
LC_full_training,0.0028791353787659905,0.05365757522257217,0.0
LC_testing,0.03163398850080222,0.17785946278115827,0.0
