parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
σ,0.14760145296783328,0.333019558180271,0.09053125893896188,15.86309020495249,11.239644700962314,1.043723568852121,0.11135822286226485
parameters[1],0.11556909367612231,0.1938698801887149,0.04571293846650313,52.29597637284066,11.240543116684107,1.0173513898809878,0.367115544101766
parameters[2],0.6224416117111655,0.06746540534172925,0.024635456803670196,9.477970376822633,11.239644700962323,1.0894309169052094,0.06653495150488682
parameters[3],-0.03768672553944267,0.06669443834182003,0.011691930126814016,93.85902719873029,12.147612143510338,1.034022031945427,0.658886404438932
parameters[4],-0.21029208512833866,0.26380601491434735,0.05692802025196719,49.732658581353704,11.239644700962323,1.0182609033220034,0.3491211615317106
parameters[5],0.049819393509014515,0.08964130654930562,0.012002208550663137,52.31789907105633,11.323816345632167,1.0129817797328313,0.36726944051678356
