parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
σ,0.23615109110168803,0.11145558106357278,0.02181305912430873,72.55004882985085,24.369426301298382,1.0245227086524074,6.103823727902647
parameters[1],-0.7287732560358527,0.3739023352836282,0.06698725771688185,52.05986278910877,12.115308308030357,1.038654175180817,4.379931245928721
parameters[2],0.24840027192170322,0.6375191873410028,0.05034803062911215,162.3107638220115,177.64642781963494,1.000361079533614,13.65562542672148
parameters[3],-0.8073667605571695,0.2797727173714287,0.033258032680066704,77.56953894808792,59.77547682902632,1.0171337408642438,6.526126446919732
parameters[4],-0.3642307414215876,0.605250001061724,0.10955622192316547,52.50866285018489,12.115308308030357,1.0238706265535198,4.417689958790585
parameters[5],-0.40341159713558217,0.2582888228179416,0.04052625600079535,69.94709226597615,18.019008015259278,1.0314162108492082,5.884830242804657
