State,MSE,RMSE,Time_s
BNN_training_half-%,0.04223677609807513,0.20551587797071819,13.507140874862671
BNN_full_training_half-%,0.1977450682146015,0.44468535866902736,0.0
BNN_testing_half-%,0.35318459448556655,0.5942933572618547,0.0
FNN_training_half-%,0.04192950598931393,0.2047669553158271,0.1048269271850586
FNN_full_training_half-%,0.19673333727901648,0.44354631920354887,0.0
FNN_testing_half-%,0.35267658841544475,0.5938658000048872,0.0
LC_full_training,0.0028791353787659905,0.05365757522257217,0.0
LC_testing,0.031341897877007585,0.17703643093162374,0.0
