State,MSE,RMSE,Time_s
BNN_training_half-%,0.0006376141276007678,0.025251022308032754,75.20173907279968
BNN_full_training_half-%,0.13094111882723264,0.3618578710312001,0.0
BNN_testing_half-%,0.2259483305326834,0.4753402260830482,0.0
FNN_training_half-%,0.0006619518853967559,0.025728425629967255,0.29657506942749023
FNN_full_training_half-%,0.1324125578409536,0.36388536359814416,0.0
FNN_testing_half-%,0.2274025066861849,0.47686738899424114,0.0
LC_full_training,0.0028791353787659905,0.05365757522257217,0.0
LC_testing,0.03163398850080222,0.17785946278115827,0.0
