Year,Age,Gender,log_Mu
1950.0,0.0,0.0,-3.5681496533266226
1950.0,2.0,0.0,-6.743088657426903
1950.0,3.0,0.0,-7.000967660704315
1950.0,10.0,0.0,-7.763421389039857
1950.0,12.0,0.0,-7.780029125439517
1950.0,14.0,0.0,-7.550209345226564
1950.0,15.0,0.0,-7.395515629817131
1950.0,16.0,0.0,-7.2404347173646535
1950.0,17.0,0.0,-7.153655817418963
1950.0,19.0,0.0,-7.032185357360314
1950.0,20.0,0.0,-6.985716820451849
1950.0,21.0,0.0,-6.943382456625288
1950.0,23.0,0.0,-6.86469578952169
1950.0,24.0,0.0,-6.816088090456313
1950.0,25.0,0.0,-6.769733981084762
1950.0,27.0,0.0,-6.708904420236972
1950.0,28.0,0.0,-6.640020844340052
1950.0,30.0,0.0,-6.564875046065594
1950.0,34.0,0.0,-6.290409811838473
1950.0,35.0,0.0,-6.210616077152654
1950.0,36.0,0.0,-6.141357636682599
1950.0,37.0,0.0,-6.065326395706437
1950.0,38.0,0.0,-5.986278020420682
1950.0,39.0,0.0,-5.897609971636357
1950.0,41.0,0.0,-5.731564855668653
1950.0,42.0,0.0,-5.653564758495584
1950.0,43.0,0.0,-5.574070868134544
1950.0,45.0,0.0,-5.426605386849568
1950.0,46.0,0.0,-5.3401815706467355
1950.0,48.0,0.0,-5.1862394631426865
1950.0,51.0,0.0,-4.949775405839493
1950.0,53.0,0.0,-4.787411745981875
1950.0,57.0,0.0,-4.487742769112127
1950.0,64.0,0.0,-3.889576816598316
1950.0,65.0,0.0,-3.816303818369602
1950.0,66.0,0.0,-3.7470595661803987
1950.0,67.0,0.0,-3.671275320165579
1950.0,68.0,0.0,-3.571096418457553
1950.0,70.0,0.0,-3.3634970544793297
1950.0,76.0,0.0,-2.7465000114774094
1950.0,79.0,0.0,-2.4682619446599268
1950.0,81.0,0.0,-2.324013040407666
1950.0,82.0,0.0,-2.222342405317843
1950.0,84.0,0.0,-2.0373480358727836
1950.0,86.0,0.0,-1.8323439919469704
1950.0,89.0,0.0,-1.6666380918521009
1950.0,91.0,0.0,-1.4542863051304926
1950.0,92.0,0.0,-1.346339302279801
1950.0,94.0,0.0,-1.2216854172245881
1950.0,95.0,0.0,-1.1654767126217338
1950.0,97.0,0.0,-1.144142223166556
1950.0,98.0,0.0,-1.2129092826346617
1951.0,6.0,0.0,-7.415253112655453
1951.0,7.0,0.0,-7.612975040776352
1951.0,8.0,0.0,-7.821549130657705
1951.0,9.0,0.0,-7.8596731884994435
1951.0,11.0,0.0,-7.893932138320459
1951.0,12.0,0.0,-7.851931214345828
1951.0,13.0,0.0,-7.754053639036257
1951.0,14.0,0.0,-7.600902459542082
1951.0,16.0,0.0,-7.31722840848784
1951.0,17.0,0.0,-7.183508780568644
1951.0,19.0,0.0,-7.063240181822532
1951.0,20.0,0.0,-7.033318501957483
1951.0,22.0,0.0,-6.944419263353728
1951.0,27.0,0.0,-6.760197714624522
1951.0,31.0,0.0,-6.538262831332791
1951.0,32.0,0.0,-6.444650391427558
1951.0,33.0,0.0,-6.39433302936888
1951.0,36.0,0.0,-6.180689880218731
1951.0,37.0,0.0,-6.106202224578405
1951.0,40.0,0.0,-5.823580038111797
1951.0,43.0,0.0,-5.601857854934275
1951.0,44.0,0.0,-5.534546157410902
1951.0,45.0,0.0,-5.478640920679318
1951.0,47.0,0.0,-5.310592397423649
1951.0,50.0,0.0,-5.009386074695824
1951.0,51.0,0.0,-4.9378496243706085
1951.0,53.0,0.0,-4.761707043808319
1951.0,55.0,0.0,-4.637176982123178
1951.0,56.0,0.0,-4.566815232111628
1951.0,60.0,0.0,-4.251349311032265
1951.0,61.0,0.0,-4.156134863178552
1951.0,63.0,0.0,-3.9951872466889147
1951.0,66.0,0.0,-3.7550192566184815
1951.0,67.0,0.0,-3.689119482918545
1951.0,69.0,0.0,-3.4981599258689395
1951.0,74.0,0.0,-2.950778028552949
1951.0,75.0,0.0,-2.8621633816325756
1951.0,78.0,0.0,-2.5681404435652944
1951.0,80.0,0.0,-2.4297936597350884
1951.0,82.0,0.0,-2.227922988685623
1951.0,84.0,0.0,-2.0248397264882523
1951.0,87.0,0.0,-1.775445272377501
1951.0,88.0,0.0,-1.7322554750803234
1951.0,89.0,0.0,-1.6374516588892993
1951.0,92.0,0.0,-1.39747665052246
1951.0,96.0,0.0,-1.1145313268681283
1951.0,97.0,0.0,-1.0851414294802653
1952.0,2.0,0.0,-6.672683156802654
1952.0,3.0,0.0,-6.976034119735432
1952.0,9.0,0.0,-7.915613204381783
1952.0,11.0,0.0,-7.821549130657705
1952.0,12.0,0.0,-7.737868314615239
1952.0,14.0,0.0,-7.52951246345541
1952.0,15.0,0.0,-7.366621163817417
1952.0,17.0,0.0,-7.1927742340144345
1952.0,20.0,0.0,-7.053937789160218
1952.0,21.0,0.0,-7.050471581183732
1952.0,22.0,0.0,-7.006471251921295
1952.0,23.0,0.0,-6.980325971816972
1952.0,25.0,0.0,-6.860871693083286
1952.0,26.0,0.0,-6.827097375964683
1952.0,29.0,0.0,-6.6750575148631155
1952.0,30.0,0.0,-6.654664651299975
1952.0,35.0,0.0,-6.272237211258828
1952.0,36.0,0.0,-6.198734749265902
1952.0,37.0,0.0,-6.12705520141433
1952.0,40.0,0.0,-5.865008123155422
1952.0,41.0,0.0,-5.7808795250411675
1952.0,43.0,0.0,-5.639118961330479
1952.0,45.0,0.0,-5.4989658400348755
1952.0,46.0,0.0,-5.412158182971797
1952.0,48.0,0.0,-5.249908227340349
1952.0,50.0,0.0,-5.033341131631894
1952.0,51.0,0.0,-4.967432136795607
1952.0,53.0,0.0,-4.800090778358562
1952.0,54.0,0.0,-4.718338884093729
1952.0,55.0,0.0,-4.658570962715206
1952.0,56.0,0.0,-4.589296836831801
1952.0,60.0,0.0,-4.292917459602106
1952.0,61.0,0.0,-4.1890948987679115
1952.0,64.0,0.0,-3.9287114867143815
