parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
σ,0.14763053564521825,0.3086235120266352,0.08434130652470403,12.751856287041027,12.254901960784284,1.059316777129559,0.01746867915877749
parameters[1],0.060838280381763,0.1426312003409719,0.021501632882332478,91.69927031876239,15.959144589849979,1.047612343854871,0.12561819206826777
parameters[2],0.20037247728728388,0.18293752178158254,0.053764133608920586,13.97117071782371,12.280184693977763,1.082298476662984,0.019139009509555976
parameters[3],-0.1444602712878351,0.16429319321155425,0.03064786401361398,48.88338991290313,12.36265094796805,1.0530504692830487,0.06696501555226296
parameters[4],-0.07081576898991962,0.5077247847811673,0.15456871788654544,27.179144019587206,12.254901960784284,1.065345603242592,0.0372325201916579
parameters[5],0.13366830575329602,0.2325032638619754,0.09426225984904377,12.678750336993643,12.254901960784284,1.082213751786665,0.01736853182671626
parameters[6],-0.007134143721902027,0.2354024341436655,0.0830198885051013,23.81809041844532,12.275360895610312,1.0720517942513768,0.03262823626058286
parameters[7],0.323314559095275,0.6610101977473093,0.21500754387933504,12.320510479937408,12.254901960784284,1.094545888472182,0.01687778154033158
parameters[8],-0.0010991842358471493,0.44755747533109086,0.13647058917974508,12.061412815836562,12.254901960784284,1.0788919657406404,0.016522845453923046
parameters[9],2.658774520272158,0.14547653977494032,0.022085644126729944,76.55544490534639,15.18427637812491,1.0597858954807176,0.10487277105436063
parameters[10],0.1983208360068416,0.041413851622304786,0.006693137576140734,107.21269898272534,13.216045336321894,1.0407348908702054,0.14686993000219914
parameters[11],1.5832339557372237,0.20625592715802557,0.0430004368945713,33.43502956753112,19.804490073989495,1.06857645005866,0.045802414255012594
parameters[12],-1.3056547331237813,0.4048388421246903,0.130925535096745,34.02622991939294,12.254901960784284,1.0731946446592961,0.04661229550153557
parameters[13],1.7455113047845783,0.4104350043077185,0.15888448759519533,26.413828330287817,12.712812480930747,1.0497666746340866,0.03618411955643934
parameters[14],1.4858786605380456,0.14444550732435896,0.020411694453259993,65.70838462476668,15.959144589849979,1.0493888791209964,0.09001345868507622
parameters[15],-0.894631307923536,0.24610970219321399,0.0648272949545199,61.04295479540321,12.254901960784284,1.0684086146047374,0.08362231883904744
