State,MSE,RMSE,Time_s
BNN_training_50%,0.00637658791504614,0.07985354040395541,730.0011880397797
BNN_full_training_50%,0.006712384353605726,0.08192914227309918,0.0
BNN_testing_50%,0.045855417971696455,0.2141387820356146,0.0
FNN_training_50%,0.010328251074052493,0.10162800339499194,30.481831073760986
FNN_full_training_50%,0.01092578743917756,0.10452649156638502,0.0
FNN_testing_50%,0.03647590745344992,0.19098666826103314,0.0
LC_full_training,0.0028791353787659905,0.05365757522257217,0.0
LC_testing,0.03162041819000077,0.17782130971849455,0.0
