parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
σ,0.03421168424326146,0.09589190371780117,0.010821474620708706,377.1683196464762,138.30626382427576,1.00200881372129,3.269773035513448
parameters[1],0.05355154950195081,0.26949608777235223,0.01236949857116134,496.72328894974953,502.00290209790984,1.002808420997173,4.306227039009532
parameters[2],-0.8091819223379569,0.8223306546627673,0.05126557411816639,257.1098221479241,699.9109050394094,1.0001850518533797,2.2289538114254364
parameters[3],-0.0811615293433448,0.25576010880381916,0.010884450684455817,545.7902458406322,681.1165150910145,0.999640871290074,4.7316016111021435
parameters[4],-0.7316375027188657,0.44643993910602886,0.059625853870896424,276.44891641513715,115.09403396203184,1.0036034970877052,2.3966095918087316
parameters[5],-0.3715647219133698,0.21936820789951103,0.009754905908460919,582.8139714200896,580.4852624041897,0.9997218000403345,5.05257019003112
parameters[6],-0.29904499235229537,0.28961635431398214,0.013659989413591887,442.07851850832304,483.6076946469584,1.0059439619633344,3.83249690947831
parameters[7],-0.9929721038566598,0.07898987961576065,0.006348088283812898,555.4012109694488,265.1694435296054,1.00087596566902,4.814921638226691
parameters[8],-0.02188468713395219,0.18365366440895262,0.021987507278944947,316.3336689070136,151.82181374680408,1.0066896081235577,2.7423811782142486
parameters[9],0.7140656683981415,0.2420362732427606,0.016438740153431313,414.56053868986686,226.05920659362064,1.0007214198891161,3.5939361828336964
parameters[10],0.07296787208636499,0.4873872252297617,0.022524510902302293,464.29330144857386,640.7658180720953,1.0006805417904105,4.025082804062192
parameters[11],1.2414489152415065,0.44100962420551376,0.02198404957690972,415.17031523266616,462.9972175930534,0.999386716730058,3.59922249876607
parameters[12],0.9691136696425989,0.22710874415383936,0.0190371049728912,255.36981807537708,115.51063345057061,1.0037743031650326,2.21386925076183
parameters[13],1.0235069123705434,0.277475576091932,0.01613174416550508,329.6517428407878,162.8156056316815,1.0006667556055113,2.857839123023735
parameters[14],0.9670233768579449,0.29096120377904977,0.01833751213080097,325.03178654811586,186.77565306352435,1.0081557223527704,2.81778748632957
parameters[15],-0.2930178186364231,0.13738306515317242,0.008394707925084888,373.03286327126517,354.0896727067757,0.999854686159074,3.2339216581817527
