Year,Age,Gender,log_Mu
1950.0,0.0,0.0,-3.5681496533266226
1950.0,1.0,0.0,-6.148820357884189
1950.0,2.0,0.0,-6.743088657426903
1950.0,3.0,0.0,-7.000967660704315
1950.0,4.0,0.0,-7.187469181784741
1950.0,5.0,0.0,-7.384179476030796
1950.0,6.0,0.0,-7.496542444217839
1950.0,7.0,0.0,-7.6396432878585125
1950.0,8.0,0.0,-7.643809960553359
1950.0,9.0,0.0,-7.690827167070069
1950.0,10.0,0.0,-7.763421389039857
1950.0,11.0,0.0,-7.801795401921472
1950.0,12.0,0.0,-7.780029125439517
1950.0,13.0,0.0,-7.67778350387804
1950.0,14.0,0.0,-7.550209345226564
1950.0,15.0,0.0,-7.395515629817131
1950.0,16.0,0.0,-7.2404347173646535
1950.0,17.0,0.0,-7.153655817418963
1950.0,18.0,0.0,-7.085686487474799
1950.0,19.0,0.0,-7.032185357360314
1950.0,20.0,0.0,-6.985716820451849
1950.0,21.0,0.0,-6.943382456625288
1950.0,22.0,0.0,-6.893852373813146
1950.0,23.0,0.0,-6.86469578952169
1950.0,24.0,0.0,-6.816088090456313
1950.0,25.0,0.0,-6.769733981084762
1950.0,26.0,0.0,-6.743937193752742
1950.0,27.0,0.0,-6.708904420236972
1950.0,28.0,0.0,-6.640020844340052
1950.0,29.0,0.0,-6.610618047759601
1950.0,30.0,0.0,-6.564875046065594
1950.0,31.0,0.0,-6.49300012396688
1950.0,32.0,0.0,-6.416724282544326
1950.0,33.0,0.0,-6.360790608600273
1950.0,34.0,0.0,-6.290409811838473
1950.0,35.0,0.0,-6.210616077152654
1950.0,36.0,0.0,-6.141357636682599
1950.0,37.0,0.0,-6.065326395706437
1950.0,38.0,0.0,-5.986278020420682
1950.0,39.0,0.0,-5.897609971636357
1950.0,40.0,0.0,-5.809142990314028
1950.0,41.0,0.0,-5.731564855668653
1950.0,42.0,0.0,-5.653564758495584
1950.0,43.0,0.0,-5.574070868134544
1950.0,44.0,0.0,-5.497744391244931
1950.0,45.0,0.0,-5.426605386849568
1950.0,46.0,0.0,-5.3401815706467355
1950.0,47.0,0.0,-5.262564196842219
1950.0,48.0,0.0,-5.1862394631426865
1950.0,49.0,0.0,-5.090653002082287
1950.0,50.0,0.0,-5.020382645551136
1950.0,51.0,0.0,-4.949775405839493
1950.0,52.0,0.0,-4.870177941401
1950.0,53.0,0.0,-4.787411745981875
1950.0,54.0,0.0,-4.714650286606912
1950.0,55.0,0.0,-4.6445349095103685
1950.0,56.0,0.0,-4.566430357672161
1950.0,57.0,0.0,-4.487742769112127
1950.0,58.0,0.0,-4.414467185166221
1950.0,59.0,0.0,-4.330801342598436
1950.0,60.0,0.0,-4.225296427546836
1950.0,61.0,0.0,-4.136104496470332
1950.0,62.0,0.0,-4.055200775104474
1950.0,63.0,0.0,-3.972144628769527
1950.0,64.0,0.0,-3.889576816598316
1950.0,65.0,0.0,-3.816303818369602
1950.0,66.0,0.0,-3.7470595661803987
1950.0,67.0,0.0,-3.671275320165579
1950.0,68.0,0.0,-3.571096418457553
1950.0,69.0,0.0,-3.4725108006809267
1950.0,70.0,0.0,-3.3634970544793297
1950.0,71.0,0.0,-3.2488712224036016
1950.0,72.0,0.0,-3.129858128550548
1950.0,73.0,0.0,-3.0359502838427828
1950.0,74.0,0.0,-2.9378219202691573
1950.0,75.0,0.0,-2.845675677347312
1950.0,76.0,0.0,-2.7465000114774094
1950.0,77.0,0.0,-2.6488147790712393
1950.0,78.0,0.0,-2.5605918651360766
1950.0,79.0,0.0,-2.4682619446599268
1950.0,80.0,0.0,-2.434997112350652
1950.0,81.0,0.0,-2.324013040407666
1950.0,82.0,0.0,-2.222342405317843
1950.0,83.0,0.0,-2.1335683202791698
1950.0,84.0,0.0,-2.0373480358727836
1950.0,85.0,0.0,-1.9316493197831162
1950.0,86.0,0.0,-1.8323439919469704
1950.0,87.0,0.0,-1.7589651302862297
1950.0,88.0,0.0,-1.7125897578895704
1950.0,89.0,0.0,-1.6666380918521009
1950.0,90.0,0.0,-1.5797092217117998
1950.0,91.0,0.0,-1.4542863051304926
1950.0,92.0,0.0,-1.346339302279801
1950.0,93.0,0.0,-1.2771673476289935
1950.0,94.0,0.0,-1.2216854172245881
1950.0,95.0,0.0,-1.1654767126217338
1950.0,96.0,0.0,-1.1299946024967804
1950.0,97.0,0.0,-1.144142223166556
1950.0,98.0,0.0,-1.2129092826346617
1950.0,99.0,0.0,-1.2933469705047542
1950.0,100.0,0.0,-1.0109338841907858
1951.0,0.0,0.0,-3.57966636914062
1951.0,1.0,0.0,-6.064035239942817
1951.0,2.0,0.0,-6.700741109597811
1951.0,3.0,0.0,-7.004266179362981
1951.0,4.0,0.0,-7.284632930238389
1951.0,5.0,0.0,-7.241830391003629
1951.0,6.0,0.0,-7.415253112655453
1951.0,7.0,0.0,-7.612975040776352
1951.0,8.0,0.0,-7.821549130657705
1951.0,9.0,0.0,-7.8596731884994435
1951.0,10.0,0.0,-7.904713913923747
1951.0,11.0,0.0,-7.893932138320459
1951.0,12.0,0.0,-7.851931214345828
1951.0,13.0,0.0,-7.754053639036257
1951.0,14.0,0.0,-7.600902459542082
1951.0,15.0,0.0,-7.435388021064509
1951.0,16.0,0.0,-7.31722840848784
1951.0,17.0,0.0,-7.183508780568644
1951.0,18.0,0.0,-7.116010217802597
1951.0,19.0,0.0,-7.063240181822532
1951.0,20.0,0.0,-7.033318501957483
1951.0,21.0,0.0,-7.002065958453378
1951.0,22.0,0.0,-6.944419263353728
1951.0,23.0,0.0,-6.920840518530793
1951.0,24.0,0.0,-6.871423349734747
1951.0,25.0,0.0,-6.807909944012421
1951.0,26.0,0.0,-6.786422993814612
1951.0,27.0,0.0,-6.760197714624522
1951.0,28.0,0.0,-6.6703144229671025
1951.0,29.0,0.0,-6.646160541293675
1951.0,30.0,0.0,-6.6158322122731015
1951.0,31.0,0.0,-6.538262831332791
1951.0,32.0,0.0,-6.444650391427558
1951.0,33.0,0.0,-6.39433302936888
1951.0,34.0,0.0,-6.330580274674612
1951.0,35.0,0.0,-6.247647952500392
1951.0,36.0,0.0,-6.180689880218731
1951.0,37.0,0.0,-6.106202224578405
1951.0,38.0,0.0,-6.025641998909569
1951.0,39.0,0.0,-5.9294291561885295
1951.0,40.0,0.0,-5.823580038111797
1951.0,41.0,0.0,-5.743667408355116
1951.0,42.0,0.0,-5.673447274860128
1951.0,43.0,0.0,-5.601857854934275
1951.0,44.0,0.0,-5.534546157410902
1951.0,45.0,0.0,-5.478640920679318
1951.0,46.0,0.0,-5.393287604139264
1951.0,47.0,0.0,-5.310592397423649
1951.0,48.0,0.0,-5.2267411680588145
1951.0,49.0,0.0,-5.097174055513494
1951.0,50.0,0.0,-5.009386074695824
1951.0,51.0,0.0,-4.9378496243706085
1951.0,52.0,0.0,-4.853118856221272
1951.0,53.0,0.0,-4.761707043808319
1951.0,54.0,0.0,-4.692254292895204
1951.0,55.0,0.0,-4.637176982123178
1951.0,56.0,0.0,-4.566815232111628
1951.0,57.0,0.0,-4.494434144393426
1951.0,58.0,0.0,-4.437962267004185
1951.0,59.0,0.0,-4.366625838097859
1951.0,60.0,0.0,-4.251349311032265
1951.0,61.0,0.0,-4.156134863178552
1951.0,62.0,0.0,-4.080796749676832
1951.0,63.0,0.0,-3.9951872466889147
1951.0,64.0,0.0,-3.900094434562872
1951.0,65.0,0.0,-3.819854117956769
1951.0,66.0,0.0,-3.7550192566184815
1951.0,67.0,0.0,-3.689119482918545
1951.0,68.0,0.0,-3.591353549024698
1951.0,69.0,0.0,-3.4981599258689395
1951.0,70.0,0.0,-3.3931399302844247
1951.0,71.0,0.0,-3.2817890009283315
1951.0,72.0,0.0,-3.1540014226449973
1951.0,73.0,0.0,-3.056161914380455
1951.0,74.0,0.0,-2.950778028552949
1951.0,75.0,0.0,-2.8621633816325756
1951.0,76.0,0.0,-2.761466800739317
1951.0,77.0,0.0,-2.6569341724252973
1951.0,78.0,0.0,-2.5681404435652944
1951.0,79.0,0.0,-2.476283932497115
1951.0,80.0,0.0,-2.4297936597350884
1951.0,81.0,0.0,-2.342199483628139
1951.0,82.0,0.0,-2.227922988685623
1951.0,83.0,0.0,-2.120771998778615
1951.0,84.0,0.0,-2.0248397264882523
1951.0,85.0,0.0,-1.9305251080784367
1951.0,86.0,0.0,-1.8713482799284098
1951.0,87.0,0.0,-1.775445272377501
1951.0,88.0,0.0,-1.7322554750803234
1951.0,89.0,0.0,-1.6374516588892993
1951.0,90.0,0.0,-1.4753704135402275
1951.0,91.0,0.0,-1.4958637215517716
1951.0,92.0,0.0,-1.39747665052246
1951.0,93.0,0.0,-1.3454710866004547
1951.0,94.0,0.0,-1.1878731028365124
1951.0,95.0,0.0,-1.1780256943936596
1951.0,96.0,0.0,-1.1145313268681283
1951.0,97.0,0.0,-1.0851414294802653
1951.0,98.0,0.0,-1.050385140105081
1951.0,99.0,0.0,-1.2108698678141794
1951.0,100.0,0.0,-0.987679327961808
1952.0,0.0,0.0,-3.5806351007162975
1952.0,1.0,0.0,-6.114310377106828
1952.0,2.0,0.0,-6.672683156802654
1952.0,3.0,0.0,-6.976034119735432
1952.0,4.0,0.0,-7.143477612503207
1952.0,5.0,0.0,-7.372970391496075
1952.0,6.0,0.0,-7.350922254274313
1952.0,7.0,0.0,-7.55211229537265
1952.0,8.0,0.0,-7.747084969720164
1952.0,9.0,0.0,-7.915613204381783
1952.0,10.0,0.0,-7.883265370516264
1952.0,11.0,0.0,-7.821549130657705
1952.0,12.0,0.0,-7.737868314615239
1952.0,13.0,0.0,-7.643809960553359
1952.0,14.0,0.0,-7.52951246345541
1952.0,15.0,0.0,-7.366621163817417
1952.0,16.0,0.0,-7.267291455201901
1952.0,17.0,0.0,-7.1927742340144345
1952.0,18.0,0.0,-7.0977058629405825
1952.0,19.0,0.0,-7.064409089027514
1952.0,20.0,0.0,-7.053937789160218
1952.0,21.0,0.0,-7.050471581183732
1952.0,22.0,0.0,-7.006471251921295
1952.0,23.0,0.0,-6.980325971816972
1952.0,24.0,0.0,-6.931023905921491
1952.0,25.0,0.0,-6.860871693083286
1952.0,26.0,0.0,-6.827097375964683
1952.0,27.0,0.0,-6.802494768324644
1952.0,28.0,0.0,-6.713011202189626
1952.0,29.0,0.0,-6.6750575148631155
1952.0,30.0,0.0,-6.654664651299975
1952.0,31.0,0.0,-6.593674732675825
1952.0,32.0,0.0,-6.490361600008699
1952.0,33.0,0.0,-6.424712036228598
1952.0,34.0,0.0,-6.358478468841894
1952.0,35.0,0.0,-6.272237211258828
1952.0,36.0,0.0,-6.198734749265902
1952.0,37.0,0.0,-6.12705520141433
1952.0,38.0,0.0,-6.049941476866958
1952.0,39.0,0.0,-5.9638493800750085
1952.0,40.0,0.0,-5.865008123155422
1952.0,41.0,0.0,-5.7808795250411675
1952.0,42.0,0.0,-5.708694519017222
1952.0,43.0,0.0,-5.639118961330479
1952.0,44.0,0.0,-5.565412805391429
1952.0,45.0,0.0,-5.4989658400348755
1952.0,46.0,0.0,-5.412158182971797
1952.0,47.0,0.0,-5.3283642879003335
1952.0,48.0,0.0,-5.249908227340349
1952.0,49.0,0.0,-5.127056757113507
1952.0,50.0,0.0,-5.033341131631894
1952.0,51.0,0.0,-4.967432136795607
1952.0,52.0,0.0,-4.894587095733589
1952.0,53.0,0.0,-4.800090778358562
1952.0,54.0,0.0,-4.718338884093729
1952.0,55.0,0.0,-4.658570962715206
1952.0,56.0,0.0,-4.589296836831801
1952.0,57.0,0.0,-4.516152489670438
1952.0,58.0,0.0,-4.462282698439544
1952.0,59.0,0.0,-4.400027685783434
1952.0,60.0,0.0,-4.292917459602106
1952.0,61.0,0.0,-4.1890948987679115
1952.0,62.0,0.0,-4.108524625795935
1952.0,63.0,0.0,-4.027041117012413
1952.0,64.0,0.0,-3.9287114867143815
1952.0,65.0,0.0,-3.8377043411858467
1952.0,66.0,0.0,-3.7674465843209033
1952.0,67.0,0.0,-3.7041555416664527
1952.0,68.0,0.0,-3.6122518018790455
1952.0,69.0,0.0,-3.5197782354908367
1952.0,70.0,0.0,-3.4137660373380103
1952.0,71.0,0.0,-3.3030457879549995
1952.0,72.0,0.0,-3.1749067874860777
1952.0,73.0,0.0,-3.0705635841769943
1952.0,74.0,0.0,-2.9620460783991938
1952.0,75.0,0.0,-2.8742759925313113
1952.0,76.0,0.0,-2.7824936141253147
1952.0,77.0,0.0,-2.686352312126092
1952.0,78.0,0.0,-2.5980439934019928
1952.0,79.0,0.0,-2.512800079532451
1952.0,80.0,0.0,-2.4587828666889306
1952.0,81.0,0.0,-2.3735763885723307
1952.0,82.0,0.0,-2.2859049827428475
1952.0,83.0,0.0,-2.164555084333216
1952.0,84.0,0.0,-2.0461460402821965
1952.0,85.0,0.0,-1.9476626838476891
1952.0,86.0,0.0,-1.8835524416643432
1952.0,87.0,0.0,-1.8027921055625582
1952.0,88.0,0.0,-1.7549204361783775
1952.0,89.0,0.0,-1.6394693763625825
1952.0,90.0,0.0,-1.5155878890485834
1952.0,91.0,0.0,-1.487946206848025
1952.0,92.0,0.0,-1.382780541820094
1952.0,93.0,0.0,-1.3690636658582245
1952.0,94.0,0.0,-1.2980783766279627
1952.0,95.0,0.0,-1.1979244657917327
1952.0,96.0,0.0,-1.1415208335212672
1952.0,97.0,0.0,-1.1382599729605962
1952.0,98.0,0.0,-1.0638428137467986
1952.0,99.0,0.0,-1.2413182103007459
1952.0,100.0,0.0,-0.8385082689380468
1953.0,0.0,0.0,-3.629705295475516
1953.0,1.0,0.0,-6.230737480352075
1953.0,2.0,0.0,-6.792642471881632
1953.0,3.0,0.0,-7.007575614264348
1953.0,4.0,0.0,-7.23904098891605
1953.0,5.0,0.0,-7.457668291456175
1953.0,6.0,0.0,-7.688641373850089
1953.0,7.0,0.0,-7.6396432878585125
1953.0,8.0,0.0,-7.784825297703011
1953.0,9.0,0.0,-7.918356690327533
1953.0,10.0,0.0,-8.034767042171945
1953.0,11.0,0.0,-7.946213644830499
1953.0,12.0,0.0,-7.851931214345828
1953.0,13.0,0.0,-7.731011144889103
1953.0,14.0,0.0,-7.612975040776352
1953.0,15.0,0.0,-7.466371566584476
1953.0,16.0,0.0,-7.341619861611999
1953.0,17.0,0.0,-7.26872514720375
1953.0,18.0,0.0,-7.218364856077622
1953.0,19.0,0.0,-7.143477612503207
1953.0,20.0,0.0,-7.146012468106395
1953.0,21.0,0.0,-7.148553765535068
1953.0,22.0,0.0,-7.124668280545711
1953.0,23.0,0.0,-7.103770162908094
1953.0,24.0,0.0,-7.051625649401839
1953.0,25.0,0.0,-6.984636323318095
1953.0,26.0,0.0,-6.943382456625288
1953.0,27.0,0.0,-6.902767737471098
1953.0,28.0,0.0,-6.815176097689044
1953.0,29.0,0.0,-6.7610608998313335
1953.0,30.0,0.0,-6.716308814411182
1953.0,31.0,0.0,-6.662458923026794
1953.0,32.0,0.0,-6.575577966643805
