State,MSE,RMSE,Time_s
BNN_training_half-%,0.0004857934556508451,0.022040722666256774,115.37693309783936
BNN_full_training_half-%,0.549442957728041,0.7412441957466115,0.0
BNN_testing_half-%,0.4259710065444524,0.6526645436550482,0.0
FNN_training_half-%,0.00047140485299675697,0.021711859731417687,0.19275689125061035
FNN_full_training_half-%,0.5498178283308177,0.7414970184234173,0.0
FNN_testing_half-%,0.4248765803716213,0.651825575113175,0.0
LC_full_training,0.0028791353787659905,0.05365757522257217,0.0
LC_testing,0.03160090469305317,0.17776643297611947,0.0
