State,MSE,RMSE,Time_s
BNN_training_half-%,0.006966020295592305,0.08346268804437289,10.60934591293335
BNN_full_training_half-%,0.10119580800426592,0.31811288563066087,0.0
BNN_testing_half-%,0.28701947003766565,0.5357419808430787,0.0
FNN_training_half-%,0.1742884384281,0.41747866823120433,0.044853925704956055
FNN_full_training_half-%,0.4451219612710584,0.6671746107812095,0.0
FNN_testing_half-%,1.3678048589441858,1.1695318973607285,0.0
LC_full_training,0.0028791353787659905,0.05365757522257217,0.0
LC_testing,0.030470294551579413,0.17455742479648184,0.0
