State,MSE,RMSE,Time_s
BNN_training_half-%,0.14715043211252346,0.383601918807145,4.777356147766113
BNN_full_training_half-%,0.3415964540445946,0.5844625343378261,0.0
BNN_testing_half-%,1.4022963392310794,1.1841859394668894,0.0
FNN_training_half-%,0.20760147374445972,0.4556330472479578,0.04591512680053711
FNN_full_training_half-%,0.37066684697899427,0.6088241511134346,0.0
FNN_testing_half-%,1.0452665897314346,1.0223827999978454,0.0
LC_full_training,0.0028791353787659905,0.05365757522257217,0.0
LC_testing,0.030470294551579413,0.17455742479648184,0.0
