State,MSE,RMSE,Time_s
BNN_training_1%,0.0014448644472665395,0.0380113726043475,576.7075638771057
BNN_full_training_1%,0.11648524291091497,0.3412993450197568,0.0
BNN_testing_1%,0.8968048092406969,0.9469977873473079,0.0
FNN_training_1%,0.002430662805996607,0.04930175256516351,0.43756604194641113
FNN_full_training_1%,0.08984227106081756,0.2997370031557958,0.0
FNN_testing_1%,0.41273961214453103,0.6424481396537242,0.0
LC_full_training,0.0028791353787659905,0.05365757522257217,0.0
LC_testing,0.03163398850080222,0.17785946278115827,0.0
