Year,Age,Gender,Log_Mu,In_sample,BNN_l01,BNN_l05,BNN_mean,BNN_median,BNN_u95,BNN_u99,BNN_sdev
1950.0,0.0,0.0,-3.5681496533266226,0,-7.2192816595714975,-6.027610252124824,-5.647132063030646,-5.705188919653045,-4.887749107897816,-4.18886349447201,0.6675094272777772
1950.0,1.0,0.0,-6.148820357884189,0,-7.162727162384798,-6.464346731320262,-6.23920474784974,-6.2137200783526625,-5.968525557689944,-5.811609667837494,0.48064104800479646
1950.0,2.0,0.0,-6.743088657426903,0,-7.430349629289824,-7.065514381860788,-6.65865322635899,-6.616692901988726,-6.333735646459033,-6.181739796804527,0.4805057182154842
1950.0,3.0,0.0,-7.000967660704315,0,-7.5088107432263556,-7.269706924817286,-6.93512405145347,-6.906275084007197,-6.6202918791283984,-6.473783043785791,0.4580489350241108
1950.0,4.0,0.0,-7.187469181784741,0,-7.527755241674065,-7.385384224073331,-7.144253943127932,-7.126132029299057,-6.880648299143322,-6.770003767455496,0.4297493041515154
1950.0,5.0,0.0,-7.384179476030796,0,-7.584906884425186,-7.4921128295683745,-7.32215111394035,-7.3058643952990705,-7.12100041613273,-7.036700972489274,0.4072132468059783
1950.0,6.0,0.0,-7.496542444217839,0,-7.661439031696911,-7.591678163036482,-7.479984782984547,-7.4639942233192205,-7.335584654683095,-7.273227387603145,0.3915137139269159
1950.0,7.0,0.0,-7.6396432878585125,0,-7.749989583366933,-7.701387422949173,-7.618341211849679,-7.6047635939663305,-7.503836299266674,-7.454391261372793,0.3817792387571594
1950.0,8.0,0.0,-7.643809960553359,0,-7.852883797707146,-7.811273149104804,-7.73322407228707,-7.721023045365802,-7.629410740046772,-7.575180916357417,0.3761861874463986
1950.0,9.0,0.0,-7.690827167070069,0,-7.950962249216274,-7.90413087798546,-7.818773157555094,-7.807473012868374,-7.711024961459836,-7.65003966465842,0.3729359712858142
1950.0,10.0,0.0,-7.763421389039857,0,-8.008241778047696,-7.955553300260198,-7.8679757199505085,-7.8564046406586945,-7.758136564883749,-7.6908087634156646,0.3706563295027366
1950.0,11.0,0.0,-7.801795401921472,0,-8.004951572220984,-7.951531796298576,-7.87311949569959,-7.862789130047741,-7.769989170863622,-7.715035052460134,0.3687834560377371
1950.0,12.0,0.0,-7.780029125439517,0,-7.943477982271138,-7.903460352740122,-7.828142969798828,-7.818025721364006,-7.723320094135147,-7.661885155968726,0.36894219149207547
1950.0,13.0,0.0,-7.67778350387804,0,-7.904305521215848,-7.847592587747167,-7.73381435953975,-7.724358676486684,-7.592814436380936,-7.517719277764129,0.3742998414208124
1950.0,14.0,0.0,-7.550209345226564,0,-7.8785412055445,-7.780347525727696,-7.602604637423877,-7.587948278842202,-7.414183743570311,-7.328694253284921,0.3852876191672263
1950.0,15.0,0.0,-7.395515629817131,0,-7.815004840557624,-7.6936043507004115,-7.457033569409112,-7.433392761897785,-7.242716458162798,-7.151453574399859,0.3965635918835456
1950.0,16.0,0.0,-7.2404347173646535,0,-7.727090408898394,-7.57537802980782,-7.321880258243703,-7.290930283307285,-7.101558007136578,-7.030424394373144,0.4014816362132167
1950.0,17.0,0.0,-7.153655817418963,0,-7.60375498649513,-7.4429321418994,-7.2154614008751405,-7.183692998221034,-7.020656122995128,-6.9612106188222995,0.3988180013160135
1950.0,18.0,0.0,-7.085686487474799,0,-7.461545326483909,-7.318551873524383,-7.144378227418256,-7.118678123830352,-6.988732647510869,-6.938464248456243,0.3923616797724652
1950.0,19.0,0.0,-7.032185357360314,0,-7.329247295946949,-7.220471650502215,-7.104628222385961,-7.083372495492286,-6.98945544633829,-6.940522148936004,0.38612095482056585
1950.0,20.0,0.0,-6.985716820451849,0,-7.220894353803766,-7.156913401303304,-7.086377704473227,-7.070323234676771,-6.998415697194687,-6.96286905053027,0.38175565768787
1950.0,21.0,0.0,-6.943382456625288,0,-7.163822109255932,-7.130315542928255,-7.078499392678574,-7.0648966307753795,-7.001307803764457,-6.96966165838889,0.3791090316057743
1950.0,22.0,0.0,-6.893852373813146,0,-7.158784050672393,-7.119103801445062,-7.071368599578203,-7.056995459124315,-6.996179328851558,-6.9585242685937265,0.3774467739924547
1950.0,23.0,0.0,-6.86469578952169,0,-7.149901877885691,-7.109365733605957,-7.058185462088711,-7.045014200251096,-6.978679399852836,-6.9454320254597794,0.37626726212276856
1950.0,24.0,0.0,-6.816088090456313,0,-7.125040245310065,-7.089726008289407,-7.03521355981052,-7.022685099113042,-6.9523880067435435,-6.919846151753509,0.3754292962923307
1950.0,25.0,0.0,-6.769733981084762,0,-7.08854157781964,-7.058705671120822,-7.001234280027539,-6.989121472129761,-6.91826170856917,-6.875041392636003,0.3749278104885325
1950.0,26.0,0.0,-6.743937193752742,0,-7.042638841378061,-7.014125938752146,-6.956713924391344,-6.945207605598901,-6.87294983808248,-6.823962793637046,0.3747358578999671
1950.0,27.0,0.0,-6.708904420236972,0,-6.993132017020812,-6.957992305709549,-6.90302563545089,-6.891307073839212,-6.816656527275905,-6.772212651596426,0.3747799383055967
1950.0,28.0,0.0,-6.640020844340052,0,-6.933828678982288,-6.895339322582652,-6.841851091010205,-6.830492853134999,-6.755814940858811,-6.711701295884647,0.3749786369859809
1950.0,29.0,0.0,-6.610618047759601,0,-6.8655256899626576,-6.827810456923336,-6.7748205211664345,-6.763203914185147,-6.691057785705985,-6.646889474894464,0.3752760220160718
1950.0,30.0,0.0,-6.564875046065594,0,-6.789075940455413,-6.755311922600554,-6.703355801475124,-6.691114863205504,-6.621748604869233,-6.578966523616865,0.3756488284971241
1950.0,31.0,0.0,-6.49300012396688,0,-6.7079837693865905,-6.677836171001923,-6.6286278358096835,-6.615872824538582,-6.551067144070315,-6.509705725158277,0.37609782400806785
1950.0,32.0,0.0,-6.416724282544326,0,-6.625862257765112,-6.599764727965784,-6.551571856734075,-6.538699343511719,-6.476449675317638,-6.437089372151671,0.37662964526607673
1950.0,33.0,0.0,-6.360790608600273,0,-6.544616010391331,-6.518467401806136,-6.47291793914749,-6.459595918266606,-6.400985616680885,-6.3649531097138095,0.3772475233741711
1950.0,34.0,0.0,-6.290409811838473,0,-6.460677458369933,-6.436144866372011,-6.393220802851386,-6.380173709423632,-6.323178770488484,-6.291169358524728,0.3779505625988457
1950.0,35.0,0.0,-6.210616077152654,1,-6.379008431564084,-6.353211284594253,-6.31288963990548,-6.299419604809745,-6.243409596276306,-6.213283841106684,0.37873439909926176
1950.0,36.0,0.0,-6.141357636682599,0,-6.298005983794095,-6.271575751290013,-6.232216798308056,-6.218482253087629,-6.162682175040602,-6.1311062058783845,0.37959246870185614
1950.0,37.0,0.0,-6.065326395706437,0,-6.217300549069593,-6.190397409561537,-6.151403308900205,-6.137573269563208,-6.081270862897391,-6.049668689998115,0.3805177435045976
1950.0,38.0,0.0,-5.986278020420682,0,-6.141171388837745,-6.11006840560528,-6.070580236589056,-6.057115953494173,-5.999198427389791,-5.970979215393493,0.38150411970763254
1950.0,39.0,0.0,-5.897609971636357,0,-6.06528626259064,-6.030319611845162,-5.989825852561122,-5.9764731985443476,-5.916438276859543,-5.888152883121422,0.3825468369348228
1950.0,40.0,0.0,-5.809142990314028,0,-5.9869325609396045,-5.950230414698503,-5.909179603830413,-5.896202269879412,-5.834240598200461,-5.805452321163761,0.38364211880591487
1950.0,41.0,0.0,-5.731564855668653,0,-5.913169159603392,-5.872202444022907,-5.828654227006326,-5.815702277972466,-5.751174757990423,-5.722649380601612,0.3847870340022717
1950.0,42.0,0.0,-5.653564758495584,0,-5.838081825034004,-5.79478117166272,-5.748246171738063,-5.735245006658632,-5.6683517451783,-5.641175509742519,0.3859802322884434
1950.0,43.0,0.0,-5.574070868134544,0,-5.760479724863578,-5.71850224083174,-5.667942755782682,-5.654316724665853,-5.586217522120151,-5.557663050594593,0.3872226318333216
1950.0,44.0,0.0,-5.497744391244931,0,-5.690206188410973,-5.640716334396308,-5.587724978379531,-5.5738741623399335,-5.503820028485283,-5.474102307806542,0.38851681785453296
1950.0,45.0,0.0,-5.426605386849568,0,-5.614395200592859,-5.5646070503812926,-5.507567510546309,-5.493764744773522,-5.421518022957709,-5.391862455994353,0.3898656548446404
1950.0,46.0,0.0,-5.3401815706467355,0,-5.542008602310245,-5.487455830983082,-5.427438459251411,-5.413794127594569,-5.339140110883918,-5.3084267997664085,0.39127140650326087
1950.0,47.0,0.0,-5.262564196842219,0,-5.466980050621496,-5.411143109417901,-5.347300139139038,-5.333420236154788,-5.257898098515988,-5.224607340816089,0.39273565515966885
1950.0,48.0,0.0,-5.1862394631426865,0,-5.3897944248720995,-5.334310949235858,-5.267110594810998,-5.252761915444683,-5.175785857744346,-5.1431594982422535,0.39425954192871776
1950.0,49.0,0.0,-5.090653002082287,0,-5.3111778476631955,-5.2576107362790285,-5.186825247509121,-5.172050205186978,-5.093713100342046,-5.061397567233122,0.39584395288286495
1950.0,50.0,0.0,-5.020382645551136,0,-5.233206286375392,-5.178566483148204,-5.106398300064796,-5.0907630834147835,-5.011444970086615,-4.97869388487948,0.39748957659589135
1950.0,51.0,0.0,-4.949775405839493,0,-5.155431691380371,-5.100387193032407,-5.025783808897123,-5.009502779009097,-4.929883737254939,-4.895756564555157,0.39919689045740553
1950.0,52.0,0.0,-4.870177941401,0,-5.0763492305703295,-5.020972135220115,-4.944936453006211,-4.928081691279437,-4.848271065223903,-4.812145505424017,0.40096613707324025
1950.0,53.0,0.0,-4.787411745981875,0,-5.000333524963101,-4.9424604764591,-4.8638120507783995,-4.846207097551066,-4.7671911796325706,-4.728209129704089,0.40279731856286605
1950.0,54.0,0.0,-4.714650286606912,0,-4.924359875896869,-4.861247379898984,-4.782367869503545,-4.763934623016624,-4.68473941941418,-4.64663965007786,0.4046902108380787
1950.0,55.0,0.0,-4.6445349095103685,0,-4.846485174782253,-4.78011178627654,-4.70056277333332,-4.681345290008951,-4.603035205027197,-4.56522075046975,0.406644394392462
1950.0,56.0,0.0,-4.566430357672161,0,-4.76263387360876,-4.700071989657149,-4.618357261088382,-4.598903802008433,-4.519469911080317,-4.48208685007098,0.40865930437889714
