parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
σ,0.2180768706278842,0.3195985188817133,0.06326984003844201,87.35795919308153,16.161606138836625,1.0107310712039197,3.517109235569753
parameters[1],-0.2489737801648852,0.12434318448297493,0.010996763333840915,170.93387166362072,142.79645678802441,1.0041219247878317,6.8819499019092
parameters[2],-0.5168626885671038,0.14846632731808587,0.016648441462255588,143.75394028570093,95.34512603094042,0.998951398719594,5.787661658978216
parameters[3],-0.30580170913663113,0.22067556829893256,0.014931019954159545,213.3548768242507,236.72448707597096,0.9991244112894943,8.589857348588884
parameters[4],-0.14212969291594413,0.37906782410567186,0.048837541575737095,150.94121388885873,99.71112156993834,1.000480653764819,6.0770276950180655
parameters[5],-0.13192993522106256,0.27841541376492296,0.022698438444660657,178.58985115681423,49.685498987397786,1.0002200657221536,7.190186454497714
parameters[6],-0.07770659746618229,0.8194673206505115,0.05279531112958997,248.4097689641275,374.61539089259213,0.9996520602581479,10.001198525007146
parameters[7],0.8658835994754439,0.604618456425476,0.1355886227654173,84.65162857418873,18.1660840765909,1.0045116491341128,3.408149954673836
parameters[8],0.6559466482106006,0.7584279880198377,0.07551732344837092,117.78773758751221,110.30741421386672,1.0151528881851237,4.7422392136046465
parameters[9],-0.30129029768963794,0.416922977969943,0.05528455053804094,127.10286767717419,70.78923519733402,1.0005095674829687,5.1172746467982195
