State,MSE,RMSE,Time_s
BNN_training_half-%,0.004793859663129693,0.06923770405732481,77.92401099205017
BNN_full_training_half-%,0.07959290272538355,0.28212214150148435,0.0
BNN_testing_half-%,0.17078458448945233,0.4132609157535374,0.0
FNN_training_half-%,0.05327031434103315,0.2308036272267686,0.05683183670043945
FNN_full_training_half-%,0.2150288876303701,0.46371207406144827,0.0
FNN_testing_half-%,0.4061557730256726,0.6373035171922972,0.0
LC_full_training,0.0028791353787659905,0.05365757522257217,0.0
LC_testing,0.031341897877007585,0.17703643093162374,0.0
