Year,Age,Gender,Log_Mu,In_sample,BNN_l01,BNN_l05,BNN_mean,BNN_median,BNN_u95,BNN_u99,BNN_sdev
1950.0,0.0,0.0,-3.5681496533266226,0,-6.179955050431871,-4.735981763063257,-3.343575825898389,-3.2138231637580548,-2.4683277772367456,-2.158122665910349,1.132817856368274
1950.0,1.0,0.0,-6.148820357884189,0,-6.717564132377691,-6.483515227301474,-6.010134608929787,-5.998375320177743,-5.455963703184304,-5.099277236527469,0.8414899017403562
1950.0,2.0,0.0,-6.743088657426903,0,-6.926100945659902,-6.819877220923512,-6.71410416233165,-6.682446022791398,-6.5712553105631395,-6.488352133265265,0.76393750386318
1950.0,3.0,0.0,-7.000967660704315,0,-7.2878782865322425,-7.121917997588498,-6.999751083292478,-6.972414030987283,-6.837516657988508,-6.786265426002123,0.7530566032486481
1950.0,4.0,0.0,-7.187469181784741,0,-7.592645212309835,-7.321081370003234,-7.215734109165786,-7.188108438661444,-7.055409583822678,-7.0100837897386805,0.7439414746177065
1950.0,5.0,0.0,-7.384179476030796,0,-7.801412015177687,-7.450131558320517,-7.369533378912838,-7.336419293277656,-7.240793883082979,-7.204935900926343,0.7366483010115403
1950.0,6.0,0.0,-7.496542444217839,0,-7.952147465143888,-7.558370853623659,-7.498708981685061,-7.464876273212031,-7.392554275216591,-7.354205053158413,0.7302596081774365
1950.0,7.0,0.0,-7.6396432878585125,0,-8.023057329445459,-7.670021929136144,-7.616506299890192,-7.5826783499388535,-7.517247671751932,-7.483754671624076,0.7239835479804959
1950.0,8.0,0.0,-7.643809960553359,0,-8.039805927300984,-7.785618196181472,-7.723410630461424,-7.6904905713332035,-7.633151205365794,-7.600499988562719,0.7176262267827185
1950.0,9.0,0.0,-7.690827167070069,0,-8.017378200666457,-7.863976164032724,-7.812316971913546,-7.782983420170661,-7.730149090641438,-7.702822733069274,0.7116957152706375
1950.0,10.0,0.0,-7.763421389039857,0,-7.95967531644388,-7.900315150853062,-7.869736360442254,-7.846292662451338,-7.798494729773835,-7.771104037624737,0.7071138622149998
1950.0,11.0,0.0,-7.801795401921472,0,-7.91465552473123,-7.895940517778226,-7.878028594089615,-7.857651475744651,-7.81219692379225,-7.779012186791855,0.7046148073991899
1950.0,12.0,0.0,-7.780029125439517,0,-7.859482760920743,-7.842815671087448,-7.822907806024117,-7.8025139797647345,-7.752671067743823,-7.719011931577612,0.7043633123606587
1950.0,13.0,0.0,-7.67778350387804,0,-7.765738375120119,-7.743665389342624,-7.70845920324132,-7.685018187707389,-7.6353145426434486,-7.607539972595957,0.706042739915445
1950.0,14.0,0.0,-7.550209345226564,0,-7.654133248844604,-7.628523604215718,-7.570266981823859,-7.541829545948332,-7.4951725855622335,-7.472929950779725,0.7085395815434641
