x1,x2,x3,x4,x5,x6,x7,x8,x9
0.4967120910242786,-0.8106710393758432,0.006993070229621989,2.6965694583959556,-0.5701669000766121,-0.7484611837288512,-2.948191042504127,-1.4390505753763538,1.7686706504090743
0.4967120910242786,-0.8106710393758432,0.006993070229621989,2.6965694583959556,-0.5701669000766121,-0.7484611837288512,-2.948191042504127,-1.4390505753763538,1.7686706504090743
0.40628419344288474,-1.026117834181897,0.0019909775783528002,2.589935624614053,-0.6092788999197408,-0.7503954610916681,-2.9352614055257673,-1.4288203866677138,1.7526163870129012
0.3464919200543194,-1.1366693687732534,-0.0030698285858055353,2.5344480580269897,-0.6269272268412875,-0.7481819817370566,-2.9320831714098468,-1.4305762739992716,1.748153669569142
0.2862912750139645,-1.269663379860328,-0.016345875127604152,2.478368000883994,-0.6657117457818795,-0.7696632735616123,-2.930734897327763,-1.4328122679446194,1.742546765640882
0.22614932024171902,-1.4008249977254994,-0.014680311583226318,2.397963960319231,-0.7068981013963453,-0.7725634535297048,-2.9111891072039175,-1.428540330388346,1.7227288177874964
0.1218455284102083,-1.60059996018927,-0.01176943734246088,2.269215950454693,-0.6973330593045444,-0.8066614544023138,-2.9153663717992733,-1.4283868804388171,1.6780339660941097
0.05827780953722746,-1.7573781773157604,0.03876506967508964,2.1803105395961357,-0.7313749972486513,-0.7823148122532558,-2.9211796140100996,-1.4318733164837016,1.610117802166088
-0.16156349334320108,-1.840842156380879,0.15451842490247694,1.840531384844055,-0.7261076233516458,-0.7338968376886421,-2.9015364371285526,-1.4804045574190872,1.3590380430307352
-0.6389548970785232,-0.7490104596576228,0.16220208243941517,-0.06843152878869013,0.34483267302226134,-0.3136527851737496,-2.1883090306882838,-0.6803197186532708,1.4175935289006658
-0.4763134371454652,-0.8167706722475865,-0.04447467711520148,-0.04138434039453234,0.12712674745592373,-0.23145205480737602,-1.9322510168650708,-0.6540542471502965,1.4813985667956187
